objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll021,panam_aucklandtohonolulu_1984_02.jpeg,,,"Panam, Auckland to Honolulu",Pan American World Airways,1984-04-02,,airlines;menu;Hawai'i,"Auckland, New Zealand",,,"Northwestern University, Transportation Library","TL017, PAWA027",Image;StillImage,image/jpeg,"eng, fre","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll022,panam_aucklandtohonolulu_1984_03.jpeg,,,"Panam, Auckland to Honolulu",Pan American World Airways,1984-04-02,,airlines;menu;Hawai'i,"Auckland, New Zealand",,,"Northwestern University, Transportation Library","TL017, PAWA027",Image;StillImage,image/jpeg,"eng, fre","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll023,panam_aucklandtohonolulu_1984_04.jpeg,,,"Panam, Auckland to Honolulu",Pan American World Airways,1984-04-02,,airlines;menu;Hawai'i,"Auckland, New Zealand",,,"Northwestern University, Transportation Library","TL017, PAWA027",Image;StillImage,image/jpeg,"eng, fre","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll024,panam_aucklandtohonolulu_1984_05.jpeg,,,"Panam, Auckland to Honolulu",Pan American World Airways,1984-04-02,,airlines;menu;Hawai'i,"Auckland, New Zealand",,,"Northwestern University, Transportation Library","TL017, PAWA027",Image;StillImage,image/jpeg,"eng, fre","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll025,panam_aucklandtohonolulu_1984_06.jpeg,,,"Panam, Auckland to Honolulu",Pan American World Airways,1984-04-02,,airlines;menu;Hawai'i,"Auckland, New Zealand",,,"Northwestern University, Transportation Library","TL017, PAWA027",Image;StillImage,image/jpeg,"eng, fre","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll026,continental_honolulutosf_87_01.jpeg,,,"Continental, Honolulu to San Francisco, First Class Menu",Continental Airlines,1987-05-03,,airlines;menu;Hawai'i,"Honolulu, Hawai'i",21.31262382,-157.7880987,"Northwestern University, Transportation Library","TL017, CA002",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll027,continental_honolulutosf_87_02.jpeg,,,"Honolulu to San Francisco, First Class Menu",Continental Airlines,1987-05-03,,airlines;menu;Hawai'i,"Honolulu, Hawai'i",,,"Northwestern University, Transportation Library","TL017, CA002",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll028,continental_honolulutosf_87_03.jpeg,,,"Honolulu to San Francisco, First Class Menu",Continental Airlines,1987-05-03,,airlines;menu;Hawai'i,"Honolulu, Hawai'i",,,"Northwestern University, Transportation Library","TL017, CA002",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll029,continental_honolulutosf_87_04.jpeg,,,"Honolulu to San Francisco, First Class Menu",Continental Airlines,1987-05-03,,airlines;menu;Hawai'i,"Honolulu, Hawai'i",,,"Northwestern University, Transportation Library","TL017, CA002",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll030,continental_honolulutosf_87_05.jpeg,,,"Honolulu to San Francisco, First Class Menu",Continental Airlines,1987-05-03,,airlines;menu;Hawai'i,"Honolulu, Hawai'i",,,"Northwestern University, Transportation Library","TL017, CA002",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll031,continental_honolulutosf_87_06.jpeg,,,"Honolulu to San Francisco, First Class Menu",Continental Airlines,1987-05-03,,airlines;menu;Hawai'i,"Honolulu, Hawai'i",,,"Northwestern University, Transportation Library","TL017, CA002",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
